City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,San Pedro,PH,84.25,few clouds,14.35,121.0167,Esquivel's Garden And Resort
239,Tholos,GR,53.67,clear sky,40.9999,23.7823,VILLA CHRISTOU VARVALA
240,Nguru,NG,89.55,overcast clouds,12.8791,10.4526,Government Lodge
243,La Gomera,GT,85.71,overcast clouds,14.0833,-91.05,Cede.E.T.V
244,Arraial Do Cabo,BR,75.81,clear sky,-22.9661,-42.0278,Pousada Porto Praia
245,Codrington,AU,54.21,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
247,Surt,LY,63.73,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
249,Waitati,NZ,59.81,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
250,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
251,Sakakah,SA,74.77,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
252,Tuatapere,NZ,54.7,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
253,Bida,NG,84.94,broken clouds,9.0833,6.0167,Royal Suite
254,Coahuayana,MX,85.98,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
255,Kavaratti,IN,83.95,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
256,Formosa Do Rio Preto,BR,77.63,broken clouds,-11.0483,-45.1931,Porto Center Hotel
258,Mayo,US,71.71,clear sky,38.8876,-76.5119,Resorts Resource Group International
259,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
260,Rolla,US,80.85,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
261,Chabahar,IR,78.82,clear sky,25.2919,60.643,هتل گدروشیا
262,San Ramon,US,66.49,scattered clouds,37.7799,-121.978,San Ramon Marriott
264,Beyneu,KZ,60.73,broken clouds,45.3167,55.2,NUR
265,Chuncheng,CN,74.57,broken clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
266,Quang Ngai,VN,75.6,scattered clouds,15.1167,108.8,Central Hotel
269,Inhambane,MZ,71.87,overcast clouds,-23.865,35.3833,Oceano
270,Noshiro,JP,54.43,overcast clouds,40.2039,140.0242,Suigetsu
271,Hirara,JP,75.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
272,Moroni,KM,78.37,moderate rain,-11.7022,43.2551,Hotel les Arcades
273,Santa Isabel Do Rio Negro,BR,75.34,overcast clouds,-0.4139,-65.0192,Hotel GSA
274,Man,CI,72.72,light rain,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
277,Cairns,AU,77.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
278,Rio Cuarto,AR,55.17,clear sky,-33.1307,-64.3499,Hotel Menossi
279,Selaphum,TH,84.99,few clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
282,Narasannapeta,IN,79.41,clear sky,18.4167,84.05,AVK events and catering
285,Black River,JM,78.69,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
286,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
287,Santa Maria,BR,65.5,thunderstorm with light rain,-29.6842,-53.8069,Hotel Morotin
288,Kaitangata,NZ,54.7,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
289,Shelburne,CA,51.76,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
290,Port Elizabeth,ZA,60.1,light rain,-33.918,25.5701,39 On Nile Guest House
291,Manaure,CO,79.56,overcast clouds,11.7751,-72.4445,Hotel Palaaima
292,Marandahalli,IN,75.09,overcast clouds,12.4,78.0,NR BIRIYANI
293,Luena,AO,58.23,broken clouds,-11.7833,19.9167,Hotel Kandamba
294,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
295,Robertsport,LR,80.69,light rain,6.7533,-11.3686,Kwepunha Retreat
297,Calvinia,ZA,59.02,overcast clouds,-31.4707,19.776,Die Lemoenhuis
298,Tulsipur,NP,71.15,clear sky,28.131,82.2973,Ekanta Hotel Pvt. Ltd
301,Waipawa,NZ,55.06,few clouds,-41.4122,175.5153,Tora Coastal Walk
302,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
303,Piste,MX,82.35,scattered clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
304,Kruisfontein,ZA,57.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
306,Tabuk,PH,76.24,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
313,Broken Hill,AU,55.11,broken clouds,-31.95,141.4333,Royal Exchange Hotel
314,Diamantino,BR,76.96,broken clouds,-14.4086,-56.4461,Hotel Delta
316,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
318,Sibolga,ID,77.63,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
320,Hambantota,LK,79.7,overcast clouds,6.1241,81.1185,Bungalow 63
321,Najran,SA,74.05,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
323,Huarmey,PE,67.6,broken clouds,-10.0681,-78.1522,Hotel Miramar
324,Mashhad,IR,60.94,few clouds,36.297,59.6062,Khanye Sabz Hotel
327,Annau,TM,63.9,broken clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
328,Salaga,GH,83.77,broken clouds,8.5508,-0.5188,Bore Nada Guest House
330,Dagua,CO,70.3,light rain,3.6569,-76.6886,Hostal Río Dagua
331,Iberia,US,81.05,broken clouds,29.9502,-91.7507,back to back rv park
334,Pathein,MM,79.88,scattered clouds,16.7833,94.7333,Pathein Hotel
335,Pilar,BR,78.73,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
336,Akyab,MM,80.73,clear sky,20.15,92.9,Hotel Memory
337,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
338,San Jose,US,65.48,scattered clouds,37.3394,-121.895,The Westin San Jose
339,Muros,ES,51.15,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
341,Panacan,PH,83.52,clear sky,9.2463,118.4082,Mom's Place Resort
342,Daru,PG,80.02,moderate rain,-9.0763,143.2092,Daru Lodge
345,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
346,Tongren,CN,70.11,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
351,Rocha,UY,53.33,moderate rain,-34.4833,-54.3333,Hotel Arrarte
352,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
353,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
354,Raudeberg,NO,50.67,broken clouds,61.9875,5.1352,Nordre Silda.
355,Masasi,TZ,68.34,overcast clouds,-10.7167,38.8,Rose Royal Hotel
356,Kavieng,PG,83.46,light rain,-2.5744,150.7967,Nusa Island Retreat
357,Mecca,SA,80.44,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
358,Cape Canaveral,US,76.06,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
359,Ashqelon,IL,64.8,overcast clouds,31.6693,34.5715,Leonardo Ashkelon
