City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Erdenet,MN,49.0333,104.0833,36.28,36,71,9.08,broken clouds
243,La Gomera,GT,14.0833,-91.05,85.71,58,99,13.24,overcast clouds
244,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,82,0,8.93,clear sky
245,Codrington,AU,-38.2667,141.9667,54.21,71,4,6.64,clear sky
246,Ostrovnoy,RU,68.0531,39.5131,29.01,89,100,12.44,overcast clouds
247,Surt,LY,31.2089,16.5887,63.73,70,0,13.38,clear sky
248,Flin Flon,CA,54.7682,-101.865,40.84,42,100,5.75,overcast clouds
249,Waitati,NZ,-45.75,170.5667,59.81,49,93,1.16,overcast clouds
250,Ixtapa,MX,20.7,-105.2,78.03,73,0,12.66,clear sky
251,Sakakah,SA,29.9697,40.2064,74.77,14,70,15.7,broken clouds
252,Tuatapere,NZ,-46.1333,167.6833,54.7,72,16,6.33,few clouds
253,Bida,NG,9.0833,6.0167,84.94,60,77,10.02,broken clouds
254,Coahuayana,MX,18.7333,-103.6833,85.98,45,5,7.18,clear sky
255,Kavaratti,IN,10.5669,72.642,83.95,72,99,3.67,overcast clouds
256,Formosa Do Rio Preto,BR,-11.0483,-45.1931,77.63,54,70,3.29,broken clouds
257,Bayir,TR,37.2687,28.2167,48.72,46,52,3.51,broken clouds
258,Mayo,US,38.8876,-76.5119,71.71,42,0,8.05,clear sky
259,Geraldton,AU,-28.7667,114.6,66.61,45,0,19.57,clear sky
260,Rolla,US,37.9514,-91.7713,80.85,43,0,20.71,clear sky
261,Chabahar,IR,25.2919,60.643,78.82,81,6,1.61,clear sky
262,San Ramon,US,37.7799,-121.978,66.49,58,40,14.97,scattered clouds
263,Taoudenni,ML,22.6783,-3.9836,80.49,8,74,9.75,broken clouds
264,Beyneu,KZ,45.3167,55.2,60.73,56,74,12.44,broken clouds
265,Chuncheng,CN,22.1731,111.7886,74.57,94,52,1.92,broken clouds
266,Quang Ngai,VN,15.1167,108.8,75.6,90,33,2.8,scattered clouds
267,Buncrana,IE,55.1333,-7.45,46.81,75,10,11.3,clear sky
268,Svetlyy,RU,54.675,20.1347,39.96,76,30,6.98,scattered clouds
269,Inhambane,MZ,-23.865,35.3833,71.87,79,100,4.83,overcast clouds
270,Noshiro,JP,40.2039,140.0242,54.43,71,100,10.76,overcast clouds
271,Hirara,JP,24.8,125.2833,75.47,94,75,13.8,broken clouds
272,Moroni,KM,-11.7022,43.2551,78.37,87,100,14.88,moderate rain
273,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.34,97,93,0.38,overcast clouds
274,Man,CI,7.4125,-7.5538,72.72,90,58,2.37,light rain
275,Magadan,RU,59.5667,150.8,24.53,79,29,5.55,scattered clouds
276,Peleduy,RU,59.6289,112.7406,25.09,88,100,1.1,overcast clouds
277,Cairns,AU,-16.9167,145.7667,77.07,94,75,12.66,light rain
278,Rio Cuarto,AR,-33.1307,-64.3499,55.17,76,0,0.0,clear sky
279,Selaphum,TH,16.0299,103.9383,84.99,74,23,5.75,few clouds
280,Uralets,RU,57.6614,59.6497,23.07,84,36,2.53,scattered clouds
281,Luderitz,NA,-26.6481,15.1594,59.72,78,0,16.8,clear sky
282,Narasannapeta,IN,18.4167,84.05,79.41,87,3,8.1,clear sky
283,Lavrentiya,RU,65.5833,-171.0,31.12,78,9,3.2,clear sky
284,Maraa,BR,-1.8333,-65.3667,75.67,94,52,1.39,moderate rain
285,Black River,JM,18.0264,-77.8487,78.69,79,53,1.54,broken clouds
286,Vila Velha,BR,-20.3297,-40.2925,80.55,75,0,11.5,clear sky
287,Santa Maria,BR,-29.6842,-53.8069,65.5,88,100,12.66,thunderstorm with light rain
288,Kaitangata,NZ,-46.2817,169.8464,54.7,62,56,10.31,broken clouds
289,Shelburne,CA,44.0787,-80.2041,51.76,61,94,5.37,overcast clouds
290,Port Elizabeth,ZA,-33.918,25.5701,60.1,92,75,16.11,light rain
291,Manaure,CO,11.7751,-72.4445,79.56,77,98,9.24,overcast clouds
292,Marandahalli,IN,12.4,78.0,75.09,84,98,2.82,overcast clouds
293,Luena,AO,-11.7833,19.9167,58.23,80,80,2.68,broken clouds
294,Pisco,PE,-13.7,-76.2167,65.01,88,0,16.11,clear sky
295,Robertsport,LR,6.7533,-11.3686,80.69,85,98,3.24,light rain
296,Whitehorse,CA,60.7161,-135.0538,47.01,38,75,12.66,broken clouds
297,Calvinia,ZA,-31.4707,19.776,59.02,67,88,8.14,overcast clouds
298,Tulsipur,NP,28.131,82.2973,71.15,29,1,6.55,clear sky
299,Lisakovsk,KZ,52.5369,62.4936,36.25,43,7,6.87,clear sky
300,Oum Hadjer,TD,13.2954,19.6966,92.48,24,83,4.85,broken clouds
301,Waipawa,NZ,-41.4122,175.5153,55.06,57,15,8.25,few clouds
302,The Valley,AI,18.217,-63.0578,78.94,69,20,10.36,few clouds
303,Piste,MX,20.7,-88.5833,82.35,53,50,4.85,scattered clouds
304,Kruisfontein,ZA,-34.0033,24.7314,57.88,83,100,4.94,overcast clouds
305,Povenets,RU,62.8487,34.8262,30.36,97,68,5.44,broken clouds
306,Tabuk,PH,17.4189,121.4443,76.24,85,7,4.5,clear sky
307,Andenes,NO,69.3143,16.1194,37.38,81,40,4.61,scattered clouds
308,La Ronge,CA,55.1001,-105.2842,44.85,45,40,9.22,scattered clouds
309,Tommot,RU,58.9564,126.2925,27.36,81,81,1.34,broken clouds
310,Stepnogorsk,KZ,52.3544,71.8869,30.97,51,0,2.3,clear sky
311,Tiznit,MA,29.5833,-9.5,55.65,73,56,8.84,broken clouds
312,Usinsk,RU,65.9939,57.5281,6.13,92,9,9.44,clear sky
313,Broken Hill,AU,-31.95,141.4333,55.11,76,61,8.05,broken clouds
314,Diamantino,BR,-14.4086,-56.4461,76.96,73,65,4.76,broken clouds
315,Bronnoysund,NO,65.4625,12.1997,41.0,81,100,5.99,overcast clouds
316,Itoman,JP,26.1247,127.6694,77.4,94,75,13.8,broken clouds
317,Mbini,GQ,1.574,9.6134,79.93,84,91,5.66,overcast clouds
318,Sibolga,ID,1.7427,98.7792,77.63,85,100,3.44,light rain
319,Great Falls,US,47.5002,-111.3008,41.59,87,100,3.44,overcast clouds
320,Hambantota,LK,6.1241,81.1185,79.7,81,94,7.18,overcast clouds
321,Najran,SA,17.4924,44.1277,74.05,22,41,3.02,scattered clouds
322,Bagdarin,RU,54.4333,113.6,27.28,38,98,1.83,overcast clouds
323,Huarmey,PE,-10.0681,-78.1522,67.6,87,67,7.56,broken clouds
324,Mashhad,IR,36.297,59.6062,60.94,94,20,4.61,few clouds
325,Nuuk,GL,64.1835,-51.7216,34.41,93,75,6.91,broken clouds
326,Yerbogachen,RU,61.2767,108.0108,22.55,78,58,5.88,broken clouds
327,Annau,TM,37.8876,58.516,63.9,68,75,6.91,broken clouds
328,Salaga,GH,8.5508,-0.5188,83.77,57,56,8.12,broken clouds
329,Vostok,RU,46.4856,135.8833,33.66,95,100,5.48,overcast clouds
330,Dagua,CO,3.6569,-76.6886,70.3,99,88,2.91,light rain
331,Iberia,US,29.9502,-91.7507,81.05,57,75,16.11,broken clouds
332,Hailey,US,43.5196,-114.3153,49.8,55,0,32.01,clear sky
333,Henties Bay,NA,-22.116,14.2845,61.45,88,2,7.05,clear sky
334,Pathein,MM,16.7833,94.7333,79.88,73,31,5.1,scattered clouds
335,Pilar,BR,-9.5972,-35.9567,78.73,88,21,4.27,few clouds
336,Akyab,MM,20.15,92.9,80.73,80,7,4.12,clear sky
337,Tiarei,PF,-17.5333,-149.3333,84.22,78,78,18.39,light rain
338,San Jose,US,37.3394,-121.895,65.48,56,40,16.11,scattered clouds
339,Muros,ES,42.7762,-9.0603,51.15,91,100,3.67,overcast clouds
340,Nome,US,64.5011,-165.4064,42.87,50,0,5.75,clear sky
341,Panacan,PH,9.2463,118.4082,83.52,74,3,8.01,clear sky
342,Daru,PG,-9.0763,143.2092,80.02,84,100,6.91,moderate rain
343,Hay River,CA,60.8156,-115.7999,39.18,35,40,8.05,scattered clouds
344,Naantali,FI,60.4674,22.0243,45.01,65,0,5.75,clear sky
345,Pitimbu,BR,-7.4706,-34.8086,79.39,81,87,9.62,overcast clouds
346,Tongren,CN,27.7172,109.1853,70.11,92,92,2.3,light rain
