City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Loviisa,FI,2022-04-22 18:08:05,60.4566,26.2251,43.29,81,13,1.92
172,Kachiry,KZ,2022-04-22 18:02:18,53.0675,76.1036,32.29,54,10,6.08
173,Sorong,ID,2022-04-22 18:05:18,-0.8833,131.25,77.88,89,100,9.51
174,Sibolga,ID,2022-04-22 18:08:05,1.7427,98.7792,78.06,90,100,2.86
175,Samfya,ZM,2022-04-22 18:08:06,-11.3649,29.5565,66.04,83,45,5.12
176,Ewa Beach,US,2022-04-22 18:09:07,21.3156,-158.0072,76.95,73,0,9.22
177,Tallahassee,US,2022-04-22 18:09:07,30.4383,-84.2807,82.0,48,20,11.5
178,Kvam,NO,2022-04-22 18:09:07,61.6656,9.6898,45.14,80,23,3.27
179,Toamasina,MG,2022-04-22 18:09:08,-18.1667,49.3833,75.51,90,100,2.98
180,Port Lincoln,AU,2022-04-22 18:09:08,-34.7333,135.8667,59.68,64,45,12.73
181,Bac Lieu,VN,2022-04-22 18:09:09,9.285,105.7244,82.44,79,11,8.88
182,Nanortalik,GL,2022-04-22 18:07:44,60.1432,-45.2371,36.48,89,98,4.54
183,Sur,OM,2022-04-22 18:09:09,22.5667,59.5289,86.27,51,74,6.2
184,Kruisfontein,ZA,2022-04-22 18:09:10,-34.0033,24.7314,58.89,74,95,9.86
185,Tula,RU,2022-04-22 18:08:43,54.2044,37.6111,44.71,91,100,4.7
186,Hualmay,PE,2022-04-22 18:04:43,-11.0964,-77.6139,72.12,76,27,10.47
187,Barrow,US,2022-04-22 18:09:11,71.2906,-156.7887,-2.18,78,0,10.36
188,Norman Wells,CA,2022-04-22 18:08:12,65.282,-126.8329,26.71,81,96,9.31
189,Port Hedland,AU,2022-04-22 18:09:11,-20.3167,118.5667,78.85,34,100,4.61
190,Taman,RU,2022-04-22 18:09:12,45.2117,36.7161,48.24,80,74,6.69
191,Isangel,VU,2022-04-22 18:09:12,-19.55,169.2667,76.28,76,18,10.2
192,Cockburn Town,TC,2022-04-22 18:04:41,21.4612,-71.1419,77.4,73,1,16.89
193,Sherlovaya Gora,RU,2022-04-22 18:09:13,50.5667,116.25,36.19,33,100,16.71
194,Warrington,GB,2022-04-22 18:09:13,53.3925,-2.5802,60.69,50,20,21.85
195,Saint-Denis,FR,2022-04-22 18:09:14,48.9167,2.3333,65.14,47,0,11.5
196,Merauke,ID,2022-04-22 18:09:14,-8.4667,140.3333,80.98,80,90,6.98
197,Kaitangata,NZ,2022-04-22 18:02:23,-46.2817,169.8464,49.78,76,76,12.15
198,Geraldton,AU,2022-04-22 18:06:26,-28.7667,114.6,70.21,37,0,19.57
199,Alice Springs,AU,2022-04-22 18:04:45,-23.7,133.8833,53.15,54,82,0.0
200,Mount Gambier,AU,2022-04-22 18:05:10,-37.8333,140.7667,47.57,90,16,6.08
201,Jining,CN,2022-04-22 18:09:16,35.405,116.5814,54.0,49,96,5.17
202,Krasnoobsk,RU,2022-04-22 18:09:16,54.9198,82.9909,24.71,55,80,9.35
203,Vanimo,PG,2022-04-22 18:09:16,-2.6741,141.3028,77.99,88,100,1.43
204,Joetsu,JP,2022-04-22 18:09:17,37.1483,138.2364,56.12,71,50,3.24
205,Mahudha,IN,2022-04-22 18:09:17,22.8167,72.9333,87.98,17,6,8.25
206,Akdepe,TM,2022-04-22 18:09:18,42.0551,59.3788,75.61,37,100,6.13
207,Klaksvik,FO,2022-04-22 18:09:18,62.2266,-6.589,47.32,87,66,16.62
208,Kokoda,PG,2022-04-22 18:09:19,-8.8785,147.7407,74.68,97,100,0.85
209,Vila,PT,2022-04-22 18:07:01,42.0304,-8.1588,38.7,90,100,1.66
